filename,url,hostname,ground_truth_topic,ground_truth_intent,ground_truth_format,ground_truth_audience,ground_truth_maturity,ground_truth_orientation,ground_truth_salience,ground_truth_sentiment,ground_truth_entities
article_001.pdf,https://www.cnbc.com/2026/07/01/tech-stocks-mag-7-emerging-markets-nvidia-chip-ai.html,cnbc.com,Business,Analysis,Analysis,Professional,Sophisticated,Centrist or politically neutral,Low,Neutral,Nvidia:company;Apple:company;Microsoft:company;Broadcom:company;Micron:company;Alphabet:company;TSMC:company;SK Hynix:company;ASML:company;ASMI:company;BE Semiconductor:company;BlackRock:company;Columbia Threadneedle Investments:company;Deutsche Bank:company;CME:company
article_002.pdf,https://www.cnbc.com/2026/07/15/asml-2q-earnings-ai-chips-orders.html,cnbc.com,Business,Report,Article,Professional,Sophisticated,Centrist or politically neutral,Low,Positive,ASML:company;TSMC:company;UBS:company;Morningstar:company;Christophe Fouquet:executive;Roger Dassen:executive
article_003.pdf,https://techcrunch.com/2026/06/22/the-running-list-major-tech-layoffs-in-2026-where-employers-cited-ai/,techcrunch.com,Business,Report,Article,Informed Reader,Standard,Centrist or politically neutral,Low,Negative,Microsoft:company;Oracle:company;GitLab:company;Google:company;Alphabet:company;Intuit:company;Meta:company;Cisco:company;Cloudflare:company;General Motors:company;Coinbase:company;PayPal:company;Snap:company;IBM:company;Atlassian:company;Dell:company;Block:company;Salesforce:company;Amazon:company;Bill Staples:executive;Sasan Goodarzi:executive;Mark Zuckerberg:executive;Mark Patterson:executive;Matthew Prince:executive;Brian Armstrong:executive;Enrique Lores:executive;Amy Hood:executive;Evan Spiegel:executive;Mike Cannon-Brookes:executive;Jack Dorsey:executive;Marc Benioff:executive;Andy Jassy:executive
article_004.pdf,https://www.cnbc.com/2026/02/02/store-openings-and-closures-2026-dollar-general-aldi-gamestop.html,www.cnbc.com,Business,Report,Article,Informed Reader,Standard,Centrist or politically neutral,Low,Neutral,Dollar General:company;Aldi:company;Tractor Supply:company;GameStop:company;Francesca's:company;Walgreens:company;Abercrombie & Fitch:company;Gap:company;Amazon:company;Whole Foods Market:company;Rite Aid:company;Joann:company;Party City:company;Big Lots:company;CVS Health:company;Saks Global:company;Saks Fifth Avenue:company;Neiman Marcus:company;LKM Convenience:company;Brothers Food Mart:company;Magnolia Express:company;JLL:company;Bed Bath & Beyond:company;Forever 21:company;Raising Cane's:company;Soulcycle:company;OpenAI:company;Google:company;Coresight Research:company;John Mercer:executive;Naveen Jaggi:executive
article_005.pdf,https://www.cnbc.com/2026/02/03/musk-xai-spacex-biggest-merger-ever.html,www.cnbc.com,Business,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,Low,Neutral,SpaceX:company;xAI:company;Tesla:company;OpenAI:company;Anthropic:company;Elon Musk:executive
article_006.pdf,https://www.cnbc.com/2026/03/06/e-shaped-economy-replacing-k-shape-2026.html,www.cnbc.com,Business,Explainer,Feature,General Public,Accessible,Centrist or politically neutral,Low,Negative,Navy Federal Credit Union:company;Chase:company;American Express:company;Costco:company;Walmart:company;Moody's Analytics:company;Bank of America:company;Intuit TurboTax:company;LendingTree:company
article_007.pdf,https://www.cnbc.com/2026/04/23/american-airlines-aal-q1-2026-earnings.html,www.cnbc.com,Business,Report,Article,Professional,Standard,Centrist or politically neutral,Low,Negative,American Airlines:company;Robert Isom:executive
article_008.pdf,https://www.cnbc.com/2026/06/16/spacex-spcx-cursor-acquisition-ipo.html,www.cnbc.com,Business,Report,Breaking,Informed Reader,Standard,Centrist or politically neutral,Low,Positive,SpaceX:company;Cursor:company;Amazon:company;Microsoft:company;xAI:company;Anthropic:company;OpenAI:company;Thrive Capital:company;Ramp:company;Elon Musk:executive;Gwynne Shotwell:executive;Michael Truell:executive
article_009.pdf,https://www.cnbc.com/2026/07/10/stock-market-next-week-outlook-for-july-13-17-2026.html,www.cnbc.com,Business,Report,Article,Professional,Sophisticated,Centrist or politically neutral,Medium,Neutral,Donald Trump:politician;Kevin Warsh:politician;Citigroup:company;Goldman Sachs Group:company;Wells Fargo:company;JPMorgan Chase:company;Bank of America:company;BlackRock:company;Morgan Stanley:company;ASML:company;Taiwan Semiconductor Manufacturing Company:company;VanEck:company;Yardeni Research:company;Keeley Gabelli Funds:company;Fastenal:company;J.B. Hunt Transport Services:company;United Airlines:company;Cintas:company;Johnson & Johnson:company;PNC Financial Services Group:company;Bank of New York Mellon:company;Elevance Health:company;M&T Bank:company;Netflix:company;Prologis:company;State Street:company;Abbott Laboratories:company;U.S. Bancorp:company;Citizens Financial Group:company;UnitedHealth Group:company;GE Aerospace:company;Travelers Cos.:company;Truist Financial:company;Fifth Third Bancorp:company;Regions Financial:company;BMO Capital Markets:company;FactSet:company;Ed Yardeni:executive
article_010.pdf,https://www.cnbc.com/2026/07/13/-a-july-rate-hike-from-the-fed-the-odds-are-rising.html,www.cnbc.com,Business,Report,Breaking,Professional,Sophisticated,Centrist or politically neutral,Medium,Neutral,Donald Trump:politician;Christopher Waller:politician;Kalshi:company;Barclays:company;CME:company;Ajay Rajadhyaksha:executive
